name,instructions,url,source
Blue Hawaiian,"<strong>Combine the ingredients:</strong> Combine the light rum, blue curaçao, pinapple juice, and cream of coconut in a cocktail shaker. <br /><br /><strong>Shake!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong> Add fresh ice to glass and strain drink into glass and garnish with a pineapple slice and maraschino cherry.",https://www.thespruceeats.com/thmb/zk5zkifQkPcQEGE5_WT7iS4XZ9A=/960x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/blue-hawaiian-recipe-759284-10-5b3fab0a46e0fb0036527479.jpg,https://www.thespruceeats.com/blue-hawaiian-recipe-759284
Bee's Knees,"<strong>Prep the glass:</strong> Fill the glass with ice and set aside to chill. <br /><br /><strong>Combine the ingredients:</strong> Combine the gin, lemon juice, and honey syrup in a cocktail shaker. <br /><br /><strong>Shake!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong> Toss out the ice in the prepped glass and strain the drink into it. Twist the lemon peel over the drink to release the oils and flavors and set on rim as a garnish.",https://upload.wikimedia.org/wikipedia/commons/9/96/Bee%27s_Knees.jpg,https://en.wikipedia.org/wiki/Bee%27s_Knees_(cocktail)
Americano,"<strong>Combine the ingredients:</strong> Fill the glass with ice to the top and add the Campari and sweet vermouth. Top off with soda, then stir for 10 seconds. <br /><br /><strong>Garnish and serve:</strong> Twist the orange peel over the drink to release the oils and flavors and use as a garnish.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Martini_Americano.jpg/800px-Martini_Americano.jpg,https://commons.wikimedia.org/wiki/File:Martini_Americano.jpg
Corpse Reviver No. 2,"<strong>Prep the glass:</strong> Fill the glass with ice and set aside to chill. <br /><br /><strong>Rinse with Absinthe</strong> Toss out the ice in the prepped glass and pour the absinthe inside of it. Swirl it around and then discard the liquid. <br /><br /><strong>Combine the ingredients:</strong> Combine the gin, absinthe, Triple Sec/Cointreau (orange liqueur), Lillet blanc, and lemon juice in a cocktail shaker. <br /><br /><strong>Shake!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong> Strain the drink into the absinthe washed chilled glass.",https://static.fordsgin.com/s3fs-public/fords-gin/instagram/image/fords-gin-239700375422451228065525591851109321801728n.jpg,https://www.fordsgin.com/instagram/corpse-reviver-2
Espresso Martini,"<strong>Prep the glass:</strong> Fill the glass with ice and set aside to chill. <strong>Combine the ingredients:</strong> Combine the espresso, vodka, Kahula, and crème de cacao in a cocktail shaker. <br /><br /><strong>Shake!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong> Toss out the ice in the prepped glass and strain the drink into it and garnish with chocolate syrup.",https://images.unsplash.com/photo-1564087734-f791fbd53ec8?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,https://unsplash.com/photos/iAXrwurNea4
Zombie,<strong>Combine the ingredients:</strong> Combine all ingredients in a cocktail shaker. <br /><br /><strong>Shake!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong> Add fresh ice to glass and strain drink into glass and garnish with strawberry and mint.,https://www.thespruceeats.com/thmb/ZTxg01YEvmT2bwA7_nmN4cgSs2M=/3648x3648/smart/filters:no_upscale()/zombie-cocktail-recipe-761643-Hero-5b7424e2c9e77c0050ec7160.jpg,https://www.thespruceeats.com/zombie-cocktail-recipe-761643
Beachcomber,"<strong>Prep the glass:</strong> Fill the glass with ice and set aside to chill. <br /><br /><strong>Combine the ingredients:</strong> Combine the light rum, orange liqueur, lime juice, and Luxardo in a cocktail shaker. <br /><br /><strong>Shake!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong>  Toss out the ice in the prepped glass and strain the drink into it.",https://storage.googleapis.com/gen-atmedia/3/2014/07/5507a1efc4e572a2b2479c2278f922becdc26d5d.jpeg,https://www.thekitchn.com/the-9bottle-bar-recipe-the-beachcomber-cocktail-recipes-from-the-kitchn-206066
Rum Runner,<strong>Combine the ingredients:</strong> Combine all ingredients in a cocktail shaker. <br /><br /><strong>Shake!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong> Add fresh ice to glass and strain drink into glass and garnish with orange slice and maraschino cherry.,https://www.nospoonnecessary.com/wp-content/uploads/2015/07/Rum-Runner-11-620x930.jpg,https://www.nospoonnecessary.com/rum-runner/
Blue Hawaii,<strong>Combine the ingredients:</strong> Combine all ingredients in a cocktail shaker. <br /><br /><strong>Shake!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong> Add fresh ice to glass and strain drink into glass and garnish with a pineapple wedge.,https://diy.sndimg.com/content/dam/images/diy/fullset/2017/4/24/sam-henderson-original-blue-hawaiian1.jpg.rend.hgtvcom.616.462.suffix/1493044978534.jpeg,https://www.diynetwork.com/made-and-remade/make-it/blue-hawaiian-recipe
Piña Colada,"<strong>Combine the ingredients:</strong> Combine the light rum, cream of coconut, pineapple juice, and lime juice in a cocktail shaker. <br /><br /><strong>Shake!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong> Add fresh ice to glass and strain drink into glass and garnish with a pineapple wedge.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Pina_Colada_at_Bonaire.jpg/3096px-Pina_Colada_at_Bonaire.jpg,https://commons.wikimedia.org/wiki/File:Pina_Colada_at_Bonaire.jpg
Screwdriver,<strong>Combine the ingredients:</strong> Combine the vodka and orange juice in a cocktail shaker. <br /><br /><strong>Shake!:</strong>Add ice and shake vigorously until condensation forms on outside of shaker. <br /><br /><strong>Strain and serve:</strong> Add fresh ice to glass and strain drink into glass and garnish with an orange wedge.,https://images.unsplash.com/photo-1550234699-2ebb2d96dfa7?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=2134&q=80,https://unsplash.com/@shootdelicious
Irish Coffee,"<strong>Combine the ingredients:</strong> Combine the hot coffee, whiskey, sugar and in a coffee mug. <br /><br /><strong>Garnish and serve:</strong> Stir and garnish with whipped cream.",https://images.unsplash.com/photo-1515701238541-0cb8d3165120?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=800&q=60,https://unsplash.com/photos/BY5FxFkra6Y
Bellini,<strong>Combine the ingredients:</strong> Pour prosecco and peach puree directly in the glass. <br /><br /><strong>Garnish and serve:</strong> Garnish with peach slices.,https://live.staticflickr.com/3927/15447958406_3869c58fee_b.jpg,https://www.flickr.com/photos/vagueonthehow/15447958406
Fuzzy Navel,<strong>Combine the ingredients:</strong> Fill the glass with ice to the top and add the peach snapps and vodka. Stir for 10 seconds to blend the ingredients. <br /><br /><strong>Garnish and serve:</strong> Garnish with an orange slice.,https://www.thespruceeats.com/thmb/8_E0W5Fuo0tXGRpig1txJRaO53w=/2696x2696/smart/filters:no_upscale()/_fuzzy-navel-cocktail-759298-hero-5bc4e64c46e0fb0026baa588.jpg,https://www.thespruceeats.com/fuzzy-navel-cocktail-759298
